"","Date","Year","Month","Dayofweek","Count"
"1",2012-01-01,"2012","01","7",724
"2",2012-01-02,"2012","01","1",551
"3",2012-01-03,"2012","01","2",611
"4",2012-01-04,"2012","01","3",599
"5",2012-01-05,"2012","01","4",626
"6",2012-01-06,"2012","01","5",668
"7",2012-01-07,"2012","01","6",582
"8",2012-01-08,"2012","01","7",540
"9",2012-01-09,"2012","01","1",622
"10",2012-01-10,"2012","01","2",592
"11",2012-01-11,"2012","01","3",619
"12",2012-01-12,"2012","01","4",607
"13",2012-01-13,"2012","01","5",649
"14",2012-01-14,"2012","01","6",559
"15",2012-01-15,"2012","01","7",539
"16",2012-01-16,"2012","01","1",609
"17",2012-01-17,"2012","01","2",609
"18",2012-01-18,"2012","01","3",575
"19",2012-01-19,"2012","01","4",518
"20",2012-01-20,"2012","01","5",571
"21",2012-01-21,"2012","01","6",547
"22",2012-01-22,"2012","01","7",559
"23",2012-01-23,"2012","01","1",605
"24",2012-01-24,"2012","01","2",546
"25",2012-01-25,"2012","01","3",606
"26",2012-01-26,"2012","01","4",608
"27",2012-01-27,"2012","01","5",631
"28",2012-01-28,"2012","01","6",631
"29",2012-01-29,"2012","01","7",588
"30",2012-01-30,"2012","01","1",631
"31",2012-01-31,"2012","01","2",587
"32",2012-02-01,"2012","02","3",611
"33",2012-02-02,"2012","02","4",612
"34",2012-02-03,"2012","02","5",613
"35",2012-02-04,"2012","02","6",537
"36",2012-02-05,"2012","02","7",578
"37",2012-02-06,"2012","02","1",582
"38",2012-02-07,"2012","02","2",593
"39",2012-02-08,"2012","02","3",564
"40",2012-02-09,"2012","02","4",562
"41",2012-02-10,"2012","02","5",588
"42",2012-02-11,"2012","02","6",608
"43",2012-02-12,"2012","02","7",578
"44",2012-02-13,"2012","02","1",656
"45",2012-02-14,"2012","02","2",590
"46",2012-02-15,"2012","02","3",618
"47",2012-02-16,"2012","02","4",645
"48",2012-02-17,"2012","02","5",592
"49",2012-02-18,"2012","02","6",557
"50",2012-02-19,"2012","02","7",555
"51",2012-02-20,"2012","02","1",484
"52",2012-02-21,"2012","02","2",595
"53",2012-02-22,"2012","02","3",652
"54",2012-02-23,"2012","02","4",628
"55",2012-02-24,"2012","02","5",577
"56",2012-02-25,"2012","02","6",597
"57",2012-02-26,"2012","02","7",519
"58",2012-02-27,"2012","02","1",621
